experiment,bin,mean_predicted_score,observed_positive_fraction,absolute_difference
text_only,1,0.07648495801423005,0.0,0.07648495801423005
text_only,2,0.16786588706239022,0.0625,0.10536588706239022
text_only,3,0.2573213496705845,0.021739130434782608,0.23558221923580192
text_only,4,0.3525146306973157,0.2,0.1525146306973157
text_only,5,0.4520519042397348,0.4276315789473684,0.024420325292366374
text_only,6,0.5501711690320039,0.5032258064516129,0.04694536258039106
text_only,7,0.6449143846496542,0.7410714285714286,0.09615704392177438
text_only,8,0.7424386358932912,0.9010989010989011,0.15866026520560994
text_only,9,0.8381723223535738,1.0,0.16182767764642625
text_only,10,0.9187190773808696,1.0,0.08128092261913045
text_plus_social,1,0.06671981464543757,0.0,0.06671981464543757
text_plus_social,2,0.16389327462113992,0.047619047619047616,0.1162742270020923
text_plus_social,3,0.26008560677670406,0.1111111111111111,0.14897449566559295
text_plus_social,4,0.34689773481521635,0.17391304347826086,0.1729846913369555
text_plus_social,5,0.45077206687119065,0.381294964028777,0.06947710284241365
text_plus_social,6,0.5524442921382865,0.5594405594405595,0.006996267302272985
text_plus_social,7,0.6457731485388957,0.7083333333333334,0.0625601847944377
text_plus_social,8,0.7460668049100448,0.8865979381443299,0.140531133234285
text_plus_social,9,0.8409583021163314,1.0,0.15904169788366862
text_plus_social,10,0.9286565948288752,1.0,0.07134340517112481
text_plus_all_engineered,1,0.04365152046605162,0.05319148936170213,0.009539968895650508
text_plus_all_engineered,2,0.1536645426657257,0.18309859154929578,0.02943404888357007
text_plus_all_engineered,3,0.24866285687694661,0.3220338983050847,0.0733710414281381
text_plus_all_engineered,4,0.3480175194763469,0.34615384615384615,0.0018636733225007585
text_plus_all_engineered,5,0.44638258478661846,0.42,0.02638258478661848
text_plus_all_engineered,6,0.5506219389455236,0.5625,0.011878061054476419
text_plus_all_engineered,7,0.6489954183787164,0.6428571428571429,0.006138275521573533
text_plus_all_engineered,8,0.7519466533931327,0.6714285714285714,0.08051808196456134
text_plus_all_engineered,9,0.8508642316168523,0.7674418604651163,0.08342237115173601
text_plus_all_engineered,10,0.9470912490362084,0.9557522123893806,0.008660963353172124
