feature,coefficient,absolute_coefficient
我爸,0.38718708406433516,0.38718708406433516
发呆,0.29433031767476775,0.29433031767476775
工作,-0.2881784447468372,0.2881784447468372
吵架,0.26443368696342173,0.26443368696342173
我妈,0.25645081119775415,0.25645081119775415
候。,0.24852819886438077,0.24852819886438077
时候。,0.24852819886438077,0.24852819886438077
"
额，",0.2425724693612634,0.2425724693612634
"
额",0.2425724693612634,0.2425724693612634
比较,-0.24202901082968736,0.24202901082968736
是不,0.24103088966695083,0.24103088966695083
事情,-0.22664402113461,0.22664402113461
还有我,0.2218347083816297,0.2218347083816297
有我,0.21428053769631478,0.21428053769631478
因为他,0.2073880575064836,0.2073880575064836
为他,0.2073880575064836,0.2073880575064836
而且,0.20544216514323724,0.20544216514323724
我好,0.20493991852200175,0.20493991852200175
为他们,0.20170586853540842,0.20170586853540842
因为他们,0.20170586853540842,0.20170586853540842
我说,0.2012106269353085,0.2012106269353085
爸我妈,0.19879501232087216,0.19879501232087216
爸我,0.19879501232087216,0.19879501232087216
我爸我,0.19879501232087216,0.19879501232087216
我爸我妈,0.19879501232087216,0.19879501232087216
他们,0.19731942845787723,0.19731942845787723
奶奶,0.19673010109280592,0.19673010109280592
不给,0.19561339985308732,0.19561339985308732
的工,-0.1884735476783922,0.1884735476783922
的工作,-0.1884735476783922,0.1884735476783922
视频,0.1867851876332057,0.1867851876332057
了，,0.18570180574320466,0.18570180574320466
一些,-0.18428603500813093,0.18428603500813093
，而且,0.18426886033598966,0.18426886033598966
爸爸,0.18412738321034014,0.18412738321034014
要把,0.18318976609335644,0.18318976609335644
作，,-0.17824843251426048,0.17824843251426048
工作，,-0.17824843251426048,0.17824843251426048
记得,0.17748530292327577,0.17748530292327577
回去,0.17439160397558734,0.17439160397558734
程中,0.17373598017242017,0.17373598017242017
过程中,0.17373598017242017,0.17373598017242017
家乡,-0.17265369733460156,0.17265369733460156
从事,-0.17195296312896596,0.17195296312896596
跟我爸,0.1714666350565769,0.1714666350565769
，一个人,0.16854433771086152,0.16854433771086152
舒服,0.16837410109561043,0.16837410109561043
两个,0.16659954255374607,0.16659954255374607
不能,0.16502976650742507,0.16502976650742507
。因为他,0.164406520472883,0.164406520472883
可以,-0.16414902953066013,0.16414902953066013
考试,0.16358066036791752,0.16358066036791752
，还,-0.16345979155390844,0.16345979155390844
主任,0.16197586871176126,0.16197586871176126
班主任,0.16197586871176126,0.16197586871176126
班主任，,0.16197586871176126,0.16197586871176126
主任，,0.16197586871176126,0.16197586871176126
任，,0.16197586871176126,0.16197586871176126
班主,0.16197586871176126,0.16197586871176126
情，,-0.16184054889663904,0.16184054889663904
"吧
额，",0.16157329297546677,0.16157329297546677
"吧
额",0.16157329297546677,0.16157329297546677
，因为他,0.16116524930744955,0.16116524930744955
的时候。,0.16101237548119832,0.16101237548119832
力的,0.15742793688558873,0.15742793688558873
的一,-0.1561703464968243,0.1561703464968243
妈妈,0.15500643277894852,0.15500643277894852
我爸爸,0.1540354015894948,0.1540354015894948
跟我爸爸,0.1540354015894948,0.1540354015894948
乡的,-0.15304341258975693,0.15304341258975693
家乡的,-0.15304341258975693,0.15304341258975693
我把,0.1527519436081386,0.1527519436081386
，一个,0.152088337059953,0.152088337059953
太记得,0.15079662958431914,0.15079662958431914
不太记得,0.15079662958431914,0.15079662958431914
不太记,0.15079662958431914,0.15079662958431914
太记,0.15079662958431914,0.15079662958431914
希望,-0.15006832109730098,0.15006832109730098
事情，,-0.1494394138739295,0.1494394138739295
"爱
",0.14667874006752535,0.14667874006752535
"可爱
",0.14667874006752535,0.14667874006752535
我好像,0.1466723671339131,0.1466723671339131
孩子,-0.14645721115693708,0.14645721115693708
都不,0.14636597043767408,0.14636597043767408
过程,0.1451130123880549,0.1451130123880549
，还有,-0.1445070433155025,0.1445070433155025
特别,-0.14416630986622114,0.14416630986622114
很开心,-0.14386969581898224,0.14386969581898224
很开,-0.14386969581898224,0.14386969581898224
