feature,importance
delta_mfcc_12_mean,0.017919017101388424
delta2_mfcc_4_std,0.01756201584395133
mfcc_2_median,0.016691382211242185
mfcc_2_mean,0.01526939279320615
delta_mfcc_5_std,0.01525505769493404
mfcc_10_mean,0.014442913876844305
spectral_contrast_1_std,0.013863744444454158
chroma_6_std,0.013394609133291109
spectral_bandwidth_mean,0.013342446835594338
rms_median,0.01308740715527973
mfcc_4_std,0.012970333318159897
mfcc_6_median,0.01281648141556142
mfcc_10_median,0.01260532030665768
mfcc_8_median,0.012547284459604046
delta2_mfcc_7_std,0.012204342462719365
chroma_7_std,0.012060580580888275
spectral_contrast_7_mean,0.012015447073704486
mfcc_1_median,0.011950416404005541
mfcc_1_mean,0.011757022962021529
spectral_contrast_3_std,0.011701209985351926
delta2_mfcc_7_mean,0.011432933690517802
mfcc_3_std,0.011290573985267196
delta2_mfcc_10_mean,0.011013067887107446
spectral_centroid_std,0.010983999508018448
spectral_centroid_mean,0.01084490728101191
delta2_mfcc_8_mean,0.010675097357062534
delta_mfcc_4_std,0.010468413134783097
delta_mfcc_5_mean,0.010401281425338315
chroma_11_std,0.010329650137621832
delta2_mfcc_1_mean,0.009792579908130624
mfcc_9_median,0.009408958162063436
mfcc_5_std,0.009391526127663658
delta_mfcc_3_mean,0.009309848476225163
delta_mfcc_4_mean,0.009086701963618675
spectral_contrast_1_mean,0.009025577692694358
mfcc_13_mean,0.009006307127561388
delta2_mfcc_2_std,0.008961410118927302
mfcc_12_mean,0.008773149226429576
delta_mfcc_7_std,0.008755742434563934
mfcc_9_mean,0.008649832070269078
chroma_10_std,0.00864118215260448
chroma_12_std,0.008597055033043874
mfcc_2_std,0.008501858393299599
chroma_2_mean,0.008411337275113262
mfcc_7_std,0.008356282057986756
delta_mfcc_1_std,0.008177562386882515
spectral_rolloff_mean,0.008166492194120386
spectral_contrast_4_std,0.007999422787205295
mfcc_6_mean,0.007761584193730223
mfcc_10_std,0.007719253510777766
rms_std,0.007671281241693323
spectral_contrast_2_mean,0.007519344976666961
mfcc_13_median,0.007404694507962495
chroma_9_mean,0.007401319478979108
mfcc_7_mean,0.007373066822807083
spectral_contrast_2_std,0.007013079202997665
mfcc_8_mean,0.006968428896793787
delta_mfcc_10_std,0.006963126766206902
delta_mfcc_12_std,0.006876564175014886
delta_mfcc_7_mean,0.0068417588131752536
spectral_contrast_4_mean,0.0068365297755338
delta_mfcc_3_std,0.006827453835845227
zcr_std,0.006748210745305906
chroma_8_mean,0.006504537103389183
chroma_8_std,0.006480296746312609
duration_sec,0.0064029790700277835
delta2_mfcc_3_std,0.006398569818333611
mfcc_12_median,0.006100485440480818
delta2_mfcc_5_std,0.006067105413856126
delta_mfcc_1_mean,0.006066119834128985
delta_mfcc_6_mean,0.006054962827489995
delta_mfcc_9_std,0.006024626900243095
chroma_6_mean,0.005961133919202708
chroma_4_std,0.005842906935844261
rms_mean,0.005819377542080966
delta_mfcc_8_std,0.005791099804243195
mfcc_11_median,0.005668952102211108
chroma_1_std,0.005401701519694397
delta2_mfcc_9_std,0.005338308261156856
mfcc_3_mean,0.005332583282267087
spectral_rolloff_std,0.00533248371755204
delta2_mfcc_10_std,0.0052710136734236525
delta_mfcc_10_mean,0.005252562648955734
chroma_10_mean,0.005248255910169508
delta2_mfcc_12_mean,0.005200985530160523
delta_mfcc_8_mean,0.005196717352421543
mfcc_13_std,0.005187300072995425
delta2_mfcc_12_std,0.005183094918909972
delta_mfcc_2_mean,0.0051466856463097425
delta2_mfcc_13_mean,0.0049850942733095155
delta_mfcc_11_std,0.004964938560769509
mfcc_5_median,0.00495680448665691
chroma_3_mean,0.004921572631270409
zcr_mean,0.0049109605668426004
spectral_contrast_6_mean,0.004896364860770975
delta2_mfcc_2_mean,0.004884143296765636
delta2_mfcc_11_mean,0.004822161303188705
mfcc_7_median,0.004740954193979713
delta2_mfcc_1_std,0.004642382191269173
delta_mfcc_9_mean,0.004602427207460548
mfcc_11_mean,0.00458799658457583
spectral_contrast_5_mean,0.004568081558508728
delta2_mfcc_8_std,0.0044931317492121646
delta_mfcc_13_std,0.004448981306321337
delta2_mfcc_9_mean,0.00440604511954389
chroma_11_mean,0.004347067339921288
mfcc_6_std,0.004266497183416444
delta_mfcc_6_std,0.004262947635824249
delta2_mfcc_5_mean,0.00425127888163539
spectral_bandwidth_std,0.004251170200744092
mfcc_11_std,0.004250129358744788
mfcc_1_std,0.00416270902576732
spectral_contrast_7_std,0.0041366838324185876
delta2_mfcc_4_mean,0.00413150218487876
mfcc_8_std,0.004129424796820554
delta2_mfcc_13_std,0.004120767864216081
mfcc_4_mean,0.0040276208042651
delta_mfcc_13_mean,0.00402617075337118
chroma_5_std,0.0038224606831559343
mfcc_4_median,0.0037189612261172016
delta2_mfcc_6_std,0.003616592825305046
chroma_9_std,0.003483927394480837
spectral_contrast_5_std,0.0034671849159470737
chroma_4_mean,0.003389805129691109
delta2_mfcc_11_std,0.0033696826393911083
chroma_3_std,0.003313091671418124
mfcc_12_std,0.003297054406178357
mfcc_3_median,0.0032959688220804955
delta2_mfcc_6_mean,0.0032445800390575753
delta_mfcc_11_mean,0.0032180380059147113
chroma_1_mean,0.0032132204045242766
spectral_contrast_3_mean,0.003137868751903507
delta_mfcc_2_std,0.003090805214029144
chroma_2_std,0.0030860386636564797
chroma_12_mean,0.0030335584560500384
mfcc_5_mean,0.0029273594166532952
chroma_7_mean,0.0028509070991428755
delta2_mfcc_3_mean,0.0028503763656370653
mfcc_9_std,0.00276526583572413
chroma_5_mean,0.0027616080740477346
spectral_contrast_6_std,0.0025981313946194314
zcr_median,0.0021417838234617887
