model,threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
Logistic Regression,0.1,0.7468354430379747,0.2222222222222222,0.13333333333333333,0.16666666666666666,57,7,13,2
Logistic Regression,0.15,0.7468354430379747,0.2222222222222222,0.13333333333333333,0.16666666666666666,57,7,13,2
Logistic Regression,0.2,0.7468354430379747,0.2222222222222222,0.13333333333333333,0.16666666666666666,57,7,13,2
Logistic Regression,0.25,0.7468354430379747,0.2222222222222222,0.13333333333333333,0.16666666666666666,57,7,13,2
Logistic Regression,0.3,0.7468354430379747,0.2222222222222222,0.13333333333333333,0.16666666666666666,57,7,13,2
Logistic Regression,0.35,0.7468354430379747,0.2222222222222222,0.13333333333333333,0.16666666666666666,57,7,13,2
Logistic Regression,0.4,0.759493670886076,0.25,0.13333333333333333,0.17391304347826086,58,6,13,2
Logistic Regression,0.45,0.7721518987341772,0.2857142857142857,0.13333333333333333,0.18181818181818182,59,5,13,2
Logistic Regression,0.5,0.7721518987341772,0.2857142857142857,0.13333333333333333,0.18181818181818182,59,5,13,2
Random Forest,0.1,0.189873417721519,0.189873417721519,1.0,0.3191489361702128,0,64,0,15
Random Forest,0.15,0.20253164556962025,0.19230769230769232,1.0,0.3225806451612903,1,63,0,15
Random Forest,0.2,0.22784810126582278,0.17142857142857143,0.8,0.2823529411764706,6,58,3,12
Random Forest,0.25,0.31645569620253167,0.1694915254237288,0.6666666666666666,0.2702702702702703,15,49,5,10
Random Forest,0.3,0.4177215189873418,0.13953488372093023,0.4,0.20689655172413793,27,37,9,6
Random Forest,0.35,0.5949367088607594,0.16,0.26666666666666666,0.2,43,21,11,4
Random Forest,0.4,0.7215189873417721,0.18181818181818182,0.13333333333333333,0.15384615384615385,55,9,13,2
Random Forest,0.45,0.7848101265822784,0.3333333333333333,0.13333333333333333,0.19047619047619047,60,4,13,2
Random Forest,0.5,0.7848101265822784,0.0,0.0,0.0,62,2,15,0
