feature,coefficient,absolute_coefficient,feature_group
lex_liwc_negemo,-0.7212514954633494,0.7212514954633494,liwc
lex_liwc_auxverb,-0.5332807425474794,0.5332807425474794,liwc
lex_liwc_Clout,-0.4850008671965404,0.4850008671965404,liwc
lex_liwc_article,-0.4591870435936138,0.4591870435936138,liwc
lex_liwc_percept,-0.43422150487204614,0.43422150487204614,liwc
lex_liwc_Tone,-0.4045730417940169,0.4045730417940169,liwc
lex_liwc_differ,-0.39442601332934085,0.39442601332934085,liwc
lex_liwc_posemo,-0.389028557553953,0.389028557553953,liwc
lex_liwc_prep,-0.368931555387962,0.368931555387962,liwc
lex_liwc_pronoun,-0.32557363965266795,0.32557363965266795,liwc
lex_liwc_ipron,-0.3235131455130896,0.3235131455130896,liwc
sentiment,-0.29382340741404683,0.29382340741404683,sentiment
lex_liwc_ingest,-0.2759849084537102,0.2759849084537102,liwc
lex_dal_avg_pleasantness,-0.2740643530439508,0.2740643530439508,dal
lex_liwc_conj,-0.24762073497290837,0.24762073497290837,liwc
lex_liwc_adverb,-0.20031501514328104,0.20031501514328104,liwc
lex_liwc_shehe,-0.19735663960622796,0.19735663960622796,liwc
lex_dal_min_pleasantness,-0.19153652256922513,0.19153652256922513,dal
lex_liwc_focuspast,-0.18886006131615904,0.18886006131615904,liwc
lex_liwc_OtherP,-0.18367309802739257,0.18367309802739257,liwc
lex_liwc_drives,-0.17523314066405207,0.17523314066405207,liwc
lex_liwc_social,-0.16872474965895165,0.16872474965895165,liwc
lex_liwc_informal,-0.16811387132252328,0.16811387132252328,liwc
social_karma,-0.15648553989832045,0.15648553989832045,social
lex_liwc_space,-0.15005823531066267,0.15005823531066267,liwc
lex_liwc_Comma,-0.13662851911665996,0.13662851911665996,liwc
lex_liwc_discrep,-0.12609551617740147,0.12609551617740147,liwc
lex_liwc_negate,-0.1238691554520452,0.1238691554520452,liwc
lex_liwc_they,-0.11681069757331614,0.11681069757331614,liwc
lex_liwc_you,-0.11472825858830014,0.11472825858830014,liwc
