feature,coefficient,absolute_coefficient,feature_group
lex_liwc_function,1.0183016274105634,1.0183016274105634,liwc
lex_liwc_affect,0.7256060391439598,0.7256060391439598,liwc
lex_liwc_feel,0.5154892522113809,0.5154892522113809,liwc
lex_liwc_Apostro,0.3351038931923833,0.3351038931923833,liwc
lex_liwc_QMark,0.3057776949080508,0.3057776949080508,liwc
lex_liwc_focuspresent,0.261854618119524,0.261854618119524,liwc
lex_liwc_risk,0.25868857812579105,0.25868857812579105,liwc
lex_liwc_Dic,0.25169129574133764,0.25169129574133764,liwc
lex_liwc_WPS,0.23619379230324467,0.23619379230324467,liwc
lex_liwc_hear,0.22683161266575388,0.22683161266575388,liwc
lex_liwc_anx,0.221819291256967,0.221819291256967,liwc
lex_liwc_affiliation,0.21685906855895706,0.21685906855895706,liwc
lex_liwc_death,0.20206271147896562,0.20206271147896562,liwc
lex_liwc_swear,0.1931627388068212,0.1931627388068212,liwc
lex_liwc_anger,0.17185185138147946,0.17185185138147946,liwc
lex_dal_avg_imagery,0.17121180703113215,0.17121180703113215,dal
lex_liwc_i,0.1619287469858722,0.1619287469858722,liwc
lex_liwc_power,0.1607737835030165,0.1607737835030165,liwc
lex_liwc_bio,0.1562067748687794,0.1562067748687794,liwc
lex_liwc_WC,0.1517011450322071,0.1517011450322071,liwc
lex_liwc_home,0.14219292261898098,0.14219292261898098,liwc
lex_liwc_sad,0.12312177293051288,0.12312177293051288,liwc
lex_liwc_friend,0.12248885904968933,0.12248885904968933,liwc
lex_liwc_see,0.11233251766834013,0.11233251766834013,liwc
lex_liwc_tentat,0.11099929028953748,0.11099929028953748,liwc
lex_liwc_cogproc,0.11004534477888273,0.11004534477888273,liwc
lex_liwc_male,0.09437585141204928,0.09437585141204928,liwc
lex_dal_max_imagery,0.08897652293574872,0.08897652293574872,dal
lex_liwc_work,0.07590076162159033,0.07590076162159033,liwc
lex_liwc_interrog,0.07232541905189932,0.07232541905189932,liwc
