experiment,text_length_band,records,errors,false_positives,false_negatives,error_rate
text_only,51-100,2,0,0,0,0.0
text_only,101-250,51,15,8,7,29.411764705882355
text_only,251-500,453,128,68,60,28.2560706401766
text_only,501-1000,204,58,38,20,28.431372549019606
text_only,1000+,5,1,1,0,20.0
text_plus_all_engineered,51-100,2,0,0,0,0.0
text_plus_all_engineered,101-250,51,12,8,4,23.52941176470588
text_plus_all_engineered,251-500,453,109,54,55,24.061810154525386
text_plus_all_engineered,501-1000,204,50,33,17,24.509803921568626
text_plus_all_engineered,1000+,5,1,1,0,20.0
text_plus_social,51-100,2,0,0,0,0.0
text_plus_social,101-250,51,11,5,6,21.568627450980394
text_plus_social,251-500,453,116,64,52,25.607064017660043
text_plus_social,501-1000,204,57,39,18,27.941176470588236
text_plus_social,1000+,5,1,1,0,20.0
