experiment,text_length_band,records,errors,false_positives,false_negatives,error_rate
text_only,51-100,2,0,0,0,0.0
text_only,101-250,51,15,8,7,29.41
text_only,251-500,453,128,68,60,28.26
text_only,501-1000,204,58,38,20,28.43
text_only,1000+,5,1,1,0,20.0
text_plus_all_engineered,51-100,2,0,0,0,0.0
text_plus_all_engineered,101-250,51,12,8,4,23.53
text_plus_all_engineered,251-500,453,109,54,55,24.06
text_plus_all_engineered,501-1000,204,50,33,17,24.51
text_plus_all_engineered,1000+,5,1,1,0,20.0
text_plus_social,51-100,2,0,0,0,0.0
text_plus_social,101-250,51,11,5,6,21.57
text_plus_social,251-500,453,116,64,52,25.61
text_plus_social,501-1000,204,57,39,18,27.94
text_plus_social,1000+,5,1,1,0,20.0
