feature,coefficient,coefficient_importance,shap_importance,coefficient_rank,shap_rank,rank_difference
lex_liwc_function,1.0183016274105634,1.0183016274105634,0.7142741582950548,1.0,1.0,0.0
lex_liwc_negemo,-0.7212514954633494,0.7212514954633494,0.5665420940625367,3.0,2.0,1.0
lex_liwc_affect,0.7256060391439598,0.7256060391439598,0.5645685479296233,2.0,3.0,1.0
lex_liwc_auxverb,-0.5332807425474794,0.5332807425474794,0.4189062272873252,4.0,4.0,0.0
lex_liwc_Clout,-0.4850008671965404,0.4850008671965404,0.4092690739166091,6.0,5.0,1.0
lex_liwc_feel,0.5154892522113809,0.5154892522113809,0.3729127398684505,5.0,6.0,1.0
lex_liwc_article,-0.4591870435936138,0.4591870435936138,0.3695536638757212,7.0,7.0,0.0
lex_liwc_Tone,-0.4045730417940169,0.4045730417940169,0.3542727899094496,9.0,8.0,1.0
lex_liwc_differ,-0.3944260133293408,0.3944260133293408,0.3122514271373567,10.0,9.0,1.0
lex_liwc_percept,-0.4342215048720461,0.4342215048720461,0.311030587115262,8.0,10.0,2.0
lex_liwc_posemo,-0.389028557553953,0.389028557553953,0.2889837285921075,11.0,11.0,0.0
lex_liwc_prep,-0.368931555387962,0.368931555387962,0.2863833345478428,12.0,12.0,0.0
lex_liwc_Apostro,0.3351038931923833,0.3351038931923833,0.2675373451652316,13.0,13.0,0.0
lex_liwc_ipron,-0.3235131455130896,0.3235131455130896,0.2562616382656005,15.0,14.0,1.0
lex_liwc_pronoun,-0.3255736396526679,0.3255736396526679,0.243145044563702,14.0,15.0,1.0
sentiment,-0.2938234074140468,0.2938234074140468,0.2273029523827685,17.0,16.0,1.0
lex_liwc_focuspresent,0.261854618119524,0.261854618119524,0.21630310290793,20.0,17.0,3.0
lex_dal_avg_pleasantness,-0.2740643530439508,0.2740643530439508,0.2162307994590576,19.0,18.0,1.0
lex_liwc_risk,0.258688578125791,0.258688578125791,0.1990426214663573,21.0,19.0,2.0
lex_liwc_conj,-0.2476207349729083,0.2476207349729083,0.1868629465793359,23.0,20.0,3.0
lex_liwc_Dic,0.2516912957413376,0.2516912957413376,0.1716980912252432,22.0,21.0,1.0
lex_liwc_anx,0.221819291256967,0.221819291256967,0.1709322556132774,26.0,22.0,4.0
lex_liwc_swear,0.1931627388068212,0.1931627388068212,0.1699501637255364,31.0,23.0,8.0
lex_liwc_shehe,-0.1973566396062279,0.1973566396062279,0.1662898450555151,30.0,24.0,6.0
lex_liwc_affiliation,0.216859068558957,0.216859068558957,0.1659670945284322,27.0,25.0,2.0
lex_liwc_hear,0.2268316126657538,0.2268316126657538,0.1614418055024342,25.0,26.0,1.0
lex_liwc_focuspast,-0.188860061316159,0.188860061316159,0.1523978928437198,33.0,27.0,6.0
lex_liwc_adverb,-0.200315015143281,0.200315015143281,0.1508239650282842,29.0,28.0,1.0
