feature,feature_value,shap_value,absolute_shap_value
lex_liwc_function,64.84,0.9543174600954918,0.9543174600954918
lex_liwc_Clout,99.0,-0.8888762931583029,0.8888762931583029
lex_liwc_affiliation,13.19,0.7960409769785305,0.7960409769785305
lex_liwc_drives,17.58,-0.4432943753807455,0.4432943753807455
lex_liwc_differ,1.1,0.42130576929088154,0.42130576929088154
lex_liwc_conj,3.3,0.33932260908504486,0.33932260908504486
lex_liwc_i,0.0,-0.31906099484062383,0.31906099484062383
lex_liwc_feel,0.0,-0.29738400355301303,0.29738400355301303
lex_liwc_affect,4.4,-0.28571207899221984,0.28571207899221984
lex_liwc_ipron,3.3,0.26095066037065573,0.26095066037065573
lex_liwc_prep,16.48,-0.24960606019693957,0.24960606019693957
lex_liwc_negemo,2.2,0.21333200256130666,0.21333200256130666
lex_liwc_home,2.2,0.20393216230456548,0.20393216230456548
lex_liwc_percept,1.1,0.20186865917372893,0.20186865917372893
lex_liwc_Dic,87.91,-0.19209560795284825,0.19209560795284825
lex_liwc_adverb,8.79,-0.18395755607996686,0.18395755607996686
lex_liwc_social,17.58,-0.1754613263252384,0.1754613263252384
lex_liwc_focuspast,1.1,0.1694223697152638,0.1694223697152638
lex_liwc_nonflu,1.1,0.1625768824386577,0.1625768824386577
lex_liwc_auxverb,10.99,-0.15726130134637004,0.15726130134637004
lex_liwc_power,4.4,0.14742499236409007,0.14742499236409007
lex_dal_avg_pleasantness,1.91604,-0.1454592568213766,0.1454592568213766
lex_liwc_bio,5.49,0.1447025152539291,0.1447025152539291
lex_liwc_discrep,0.0,0.14169996265106702,0.14169996265106702
lex_liwc_cogproc,7.69,-0.1292073076982706,0.1292073076982706
lex_liwc_risk,0.0,-0.12801331852401523,0.12801331852401523
lex_liwc_anx,0.0,-0.12615636797439247,0.12615636797439247
lex_liwc_hear,0.0,-0.12371271284859182,0.12371271284859182
lex_liwc_Apostro,2.2,-0.12113526377666436,0.12113526377666436
lex_liwc_anger,0.0,-0.11015791558739978,0.11015791558739978
lex_dal_avg_imagery,1.60253,0.1075947472221429,0.1075947472221429
lex_liwc_focusfuture,3.3,-0.10322102182296648,0.10322102182296648
lex_liwc_shehe,4.4,-0.09371440067243733,0.09371440067243733
lex_liwc_compare,0.0,0.08866163345054713,0.08866163345054713
lex_liwc_Tone,25.77,0.08834439054281384,0.08834439054281384
lex_liwc_QMark,0.0,-0.08375030369155435,0.08375030369155435
lex_liwc_leisure,0.0,0.08208267544836485,0.08208267544836485
lex_liwc_negate,1.1,0.07833917895728856,0.07833917895728856
lex_liwc_male,4.4,0.07646250734123584,0.07646250734123584
lex_liwc_interrog,0.0,-0.07598339853589679,0.07598339853589679
lex_liwc_sad,0.0,-0.07362755812093778,0.07362755812093778
lex_liwc_friend,0.0,-0.0646467455707095,0.0646467455707095
lex_liwc_posemo,2.2,0.06399966692968728,0.06399966692968728
lex_dal_avg_activation,1.66698,-0.06384992897317851,0.06384992897317851
lex_dal_min_pleasantness,1.125,-0.06356248135731586,0.06356248135731586
lex_liwc_you,0.0,0.061554168398541775,0.061554168398541775
lex_liwc_reward,0.0,-0.06074773149412979,0.06074773149412979
lex_liwc_see,0.0,-0.05746769300841716,0.05746769300841716
lex_liwc_ingest,1.1,-0.056818946347688214,0.056818946347688214
lex_liwc_swear,0.0,-0.05555845262612133,0.05555845262612133
lex_liwc_we,12.09,-0.053312327119164823,0.053312327119164823
lex_liwc_article,4.4,0.053288924843177925,0.053288924843177925
lex_liwc_space,5.49,0.05253208455937262,0.05253208455937262
sentiment,0.04973545,0.052063921209230056,0.052063921209230056
lex_liwc_they,0.0,0.05028269143459002,0.05028269143459002
lex_dal_max_activation,2.8889,0.046025123385727215,0.046025123385727215
lex_liwc_death,0.0,-0.044963070354528505,0.044963070354528505
lex_dal_max_imagery,3.0,0.04384453072961096,0.04384453072961096
lex_liwc_body,1.1,-0.04162054586864268,0.04162054586864268
lex_liwc_Parenth,2.2,-0.041382053479288146,0.041382053479288146
lex_liwc_Quote,0.0,0.04032746598064198,0.04032746598064198
lex_liwc_informal,1.1,-0.036761491905168246,0.036761491905168246
lex_liwc_cause,0.0,0.036043455628718746,0.036043455628718746
lex_liwc_quant,1.1,0.033621878301417364,0.033621878301417364
lex_liwc_ppron,16.48,-0.03279034782542326,0.03279034782542326
lex_liwc_Comma,3.3,0.029965474031364764,0.029965474031364764
lex_liwc_netspeak,0.0,-0.0282113799536726,0.0282113799536726
lex_liwc_motion,0.0,0.025297478645677912,0.025297478645677912
lex_liwc_Colon,0.0,0.023978250630451774,0.023978250630451774
lex_liwc_number,0.0,-0.023937196793466824,0.023937196793466824
social_num_comments,0.0,-0.023876338521786968,0.023876338521786968
syntax_ari,6.463789474,-0.02366285329928024,0.02366285329928024
lex_liwc_sexual,0.0,-0.022870455253047334,0.022870455253047334
lex_liwc_WPS,18.2,-0.02236228655512858,0.02236228655512858
lex_liwc_pronoun,19.78,0.022038496929740074,0.022038496929740074
lex_liwc_health,3.3,0.02051969923598965,0.02051969923598965
lex_liwc_work,1.1,-0.019738888043764665,0.019738888043764665
lex_liwc_adj,2.2,0.019156141396997554,0.019156141396997554
social_timestamp,1505581379.0,0.018535394695342166,0.018535394695342166
lex_liwc_OtherP,3.3,-0.018342685448023272,0.018342685448023272
lex_liwc_AllPunc,15.38,0.018088203758620334,0.018088203758620334
lex_liwc_Period,4.4,-0.017125001289475156,0.017125001289475156
lex_liwc_insight,3.3,-0.01642497175818117,0.01642497175818117
lex_liwc_Dash,0.0,0.01568796354908158,0.01568796354908158
lex_liwc_family,0.0,-0.014952594741316619,0.014952594741316619
social_karma,6.0,0.014465101251214864,0.014465101251214864
lex_liwc_Analytic,42.69,-0.013844804839530064,0.013844804839530064
