feature,feature_value,shap_value,absolute_shap_value
lex_liwc_Clout,99.0,-0.8888762931583029,0.8888762931583029
lex_liwc_drives,17.58,-0.4432943753807455,0.4432943753807455
lex_liwc_i,0.0,-0.31906099484062383,0.31906099484062383
lex_liwc_feel,0.0,-0.29738400355301303,0.29738400355301303
lex_liwc_affect,4.4,-0.28571207899221984,0.28571207899221984
lex_liwc_prep,16.48,-0.24960606019693957,0.24960606019693957
lex_liwc_Dic,87.91,-0.19209560795284825,0.19209560795284825
lex_liwc_adverb,8.79,-0.18395755607996686,0.18395755607996686
lex_liwc_social,17.58,-0.1754613263252384,0.1754613263252384
lex_liwc_auxverb,10.99,-0.15726130134637004,0.15726130134637004
