feature,feature_value,shap_value,absolute_shap_value
lex_liwc_function,64.84,0.9543174600954918,0.9543174600954918
lex_liwc_affiliation,13.19,0.7960409769785305,0.7960409769785305
lex_liwc_differ,1.1,0.42130576929088154,0.42130576929088154
lex_liwc_conj,3.3,0.33932260908504486,0.33932260908504486
lex_liwc_ipron,3.3,0.26095066037065573,0.26095066037065573
lex_liwc_negemo,2.2,0.21333200256130666,0.21333200256130666
lex_liwc_home,2.2,0.20393216230456548,0.20393216230456548
lex_liwc_percept,1.1,0.20186865917372893,0.20186865917372893
lex_liwc_focuspast,1.1,0.1694223697152638,0.1694223697152638
lex_liwc_nonflu,1.1,0.1625768824386577,0.1625768824386577
