seed,model,train_participants,test_participants,test_rows,mae,rmse,r2
42,dummy_mean,36,10,15,3.1536231884057973,4.334879274429859,-0.04550324502308256
42,ridge,36,10,15,3.766653471927559,5.055648435493799,-0.4220835183592855
42,random_forest,36,10,15,3.076197250913091,4.076713989496875,0.07531916067361688
7,dummy_mean,36,10,19,3.4089068825910926,3.8997656223243204,-2.126509145314121
7,ridge,36,10,19,4.275285060972199,5.532460691766384,-5.292444072576539
7,random_forest,36,10,19,2.8247512655627816,3.2940631788979045,-1.2307275932756943
21,dummy_mean,36,10,18,3.3232323232323235,4.785888539161204,-0.07226300121441365
21,ridge,36,10,18,6.789214572848083,8.301156872170946,-2.2259185890638142
21,random_forest,36,10,18,4.4708527264479,5.8906408834662285,-0.6244309501257428
100,dummy_mean,36,10,20,3.796875,4.149342238912693,-1.1394272774930103
100,ridge,36,10,20,9.181680928084399,13.202104596337957,-20.658349272773883
100,random_forest,36,10,20,4.061707601730809,4.839619039281595,-1.9104582100499417
123,dummy_mean,36,10,19,4.335222672064778,5.068381970185581,-0.10821546154977546
123,ridge,36,10,19,4.7937583585552765,5.3302743324310855,-0.2257013180795282
123,random_forest,36,10,19,3.9104736912160525,4.598031121402101,0.08792753826350419
