feature,coefficient
you,-2.4682399157604813
we,-1.8218490391294702
her,-1.6397216834975021
your,-1.603379816420714
url,-1.5700247593984984
she,-1.3730358124673177
met,-1.3270609709615768
more,-1.2013480457925332
would,-1.1078348124620132
for,-1.0666646625693972
years,-1.0386072523721048
if you,-1.0365201158608617
you can,-1.0178985486674883
thank,-0.9999504944860433
thank you,-0.9657072364275612
be,-0.9541456100734904
first,-0.9151276883345217
others,-0.8229136194677829
great,-0.7938289354118487
free,-0.7895212856606615
share,-0.7833350370832138
who,-0.7706136662762664
will,-0.761619315936791
were,-0.7595290777055614
survey,-0.7592946082185863
food,-0.7412260946573057
for the,-0.7382071131019924
those,-0.7298797413437375
bit,-0.7297334096478489
person,-0.7203407967445833
