feature,coefficient
me,3.152550094218158
my,2.679207739398309
feel,2.2911829103408996
even,1.9359737493663427
because,1.8972623549945689
just,1.877706113265152
am,1.8586398136204862
anxiety,1.7741639796244344
don,1.7550087967120207
what to,1.6424893339851079
do,1.6375304686032115
myself,1.5561174445183297
don know,1.5455559691379566
to do,1.5203186222370346
what,1.4058577841715427
scared,1.2765912840652813
feel like,1.2731967048679385
no,1.2554795632629294
fucking,1.2249458035445102
hate,1.2127562359848483
know what,1.1474286598665324
like,1.1303762601061693
feeling,1.1189017854757393
over,1.1022220795411304
now,1.0752920695204256
can,1.0739762620446214
tell,1.073812764050248
know,1.0382949804567143
stop,1.0163365858653108
need,1.0159495804896892
